technology,Bottom storage temperature,C in fuel,C stored,CO2 intensity,CO2 stored,FOM,Motor size,Top storage temperature,VOM,ammonia-input,c_b,c_v,capacity,capture rate,capture_rate,carbondioxide-input,carbondioxide-output,clinker-input,coal-input,commodity,compression-electricity-input,compression-heat-output,discount rate,district heat surcharge,district heat-input,economic_lifetime,efficiency,efficiency-biochar,efficiency-biomass,efficiency-electricity,efficiency-heat,efficiency-hydrogen,efficiency-tot,electricity-input,energy to power ratio,fuel,gas-input,hbi-input,heat-input,heat-output,hydrogen-input,investment,lifetime,lohc-input,methane-input,methanol-input,min_fill_level,naphtha-input,nitrogen-input,oil-input,ore-input,p_nom_ratio,pelletizing cost,scrap-input,slag-input,standing_losses,temperature difference,wood-input,yield-biochar,capital_cost,marginal_cost
electric arc furnace with hbi and scrap,,,,0.0,,30.0,,,0.0,,,,,,,,,,,,,,0.07,,,20.0,1.0,,,,,,,0.6395,,0.0,,0.37,,,,2312992.7323,40.0,,,,,,,,,,,0.71,,0.0,,,,33269.88432506956,0.0
electric boiler steam,,,,0.0,,1.3143,,,0.9876,,,,,,,,,,,,,,0.07,,,,0.99,,,,,,,,,0.0,,,,,,88629.5,25.0,,,,,,,,,,,,,0.0,,,,336.3912618167829,0.9876
electric steam cracker,,,,0.0,,3.0,,,240.4446,,,,,,,,0.55,,,,,,0.07,,,,1.0,,,,,,,2.7,,0.0,,,,,,14041962.2846,30.0,,,,,14.8,,,,,,,,0.0,,,,59561.37397834555,240.4446
electricity distribution grid,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,667901.6,40.0,,,,,,,,,,,,,0.0,,,,2433.957759332305,0.0
electricity grid connection,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,187012.40000000002,40.0,,,,,,,,,,,,,0.0,,,,681.5079976921104,0.0
electrobiofuels,,0.9316,,0.0,,3.0,,,0.0,,,,,0.9,,,,,,,,,0.07,,,,1.0,,1.3283,,,1.2234,0.6369,,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,0.0,,,,0.0,0.0
electrolysis,,,,0.0,,4.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.6994,,,,0.1294,,,,,0.0,,,,,,1257334.5999999999,25.0,,,,,,,,,,,,,0.0,,,,6067.405010509978,0.0
electrolysis small,,,,0.0,,4.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.6994,,,,0.1294,,,,,0.0,,,,,,597233.8999999999,25.0,,,,,,,,,,,,,0.0,,,,2882.017211095928,0.0
ethanol carbon capture retrofit,,,,0.0,,7.0,,,0.0,,,,,,0.94,,,,,,,,0.07,,,,1.0,,,,,,,0.12,,0.0,,,,,,1167510.284,20.0,,,,,,,,,,,,,0.0,,,,7361.7151778339485,0.0
ethanol from starch crop,,,,0.0,,16.4,,,33.2615,,,,,,,,,,,,,,0.07,,,,0.58,,,,,,,,,0.0,,,,,,761648.2168,20.0,,,,,,,,,,,,,0.0,,,,7548.666180178622,33.2615
ethanol from sugar crops,,,,0.0,,19.51,,,29.2541,,,,,,,,,,,,,,0.07,,,,0.45,,,,,,,,,0.0,,,,,,563668.838,20.0,,,,,,,,,,,,,0.0,,,,6258.887602413416,29.2541
fuel cell,,,,0.0,,5.0,,,0.0,,1.25,,,,,,,,,,,,0.07,,,,0.5,,,,,,,,,0.0,,,,,,1068642.5,10.0,,,,,,,,,,,,,0.0,,,,7885.366729908464,0.0
fuelwood,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,15.2332,,,,,,0.0,25.0,,,,,,,,,,,,,0.0,,,,0.0,15.2332
gas,,,,0.198,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,22.7578,,,,,,0.0,25.0,,,,,,,,,,,,,0.0,,,,0.0,22.7578
gas boiler steam,,,,0.0,,3.74,,,1.2661,,,,,,,,,,,,,,0.07,,,,0.94,,,,,,,,,0.0,,,,,,57551.6,25.0,,,,,,,,,,,,,0.0,,,,271.98211956240004,1.2661
gas storage,,,,0.0,,0.5368,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,297.4,100.0,,,,,,,,,,,,,0.0,,,,0.860653359729591,0.0
gas storage charger,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,19171.8,25.0,,,,,,,,,,,,,0.0,,,,63.101339826619714,0.0
gas storage discharger,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,6390.6,25.0,,,,,,,,,,,,,0.0,,,,21.033779942206575,0.0
geothermal,,,,0.12,,2.0,,,0.0,,,,,,,,,,,,,,0.07,25.0,0.8,,1.0,,,,,,,,,0.0,,,,,,0.0,30.0,,,,,,,,,,,,,0.0,,,,0.0,0.0
grey methanol synthesis,,,,0.0,,0.0,,,0.0,,,,,,,,0.0568,,,,,,0.07,,,,0.569,,,,,,,,,0.0,,,,,,1258828.3146,25.0,,,,,,,,,,,,,0.0,,,,4143.2600623282915,0.0
helmeth,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.8,,,,,,,,,0.0,,,,,,2671606.2,25.0,,,,,,,,,,,,,0.0,,,,11867.400936019501,0.0
home battery inverter,,,,0.0,,0.9,,,0.0,,,,,,,,,,,,,,0.07,,,,0.96,,,,,,,,,0.0,,,,,,116896.3,10.0,,,,,,,,,,,,,0.0,,,,678.7303550930513,0.0
home battery storage,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,145195.6,30.0,,,,,,,,,,,,,0.0,,,,448.7974710546042,0.0
hydro,,,,0.0,,1.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.9,,,,,,,,,0.0,,,,,,2888527.9,80.0,,,,,,,,,,,,,0.0,,,,8898.169586079506,0.0
hydrogen direct iron reduction furnace,,,,0.0,,11.3,,,0.0,,,,,,,,,,,,,,0.07,,,20.0,1.0,,,,,,,1.03,,0.0,,,,,2.1,5378698.8822,40.0,,,,,,,,1.59,,,,,0.0,,,,38787.46200394579,0.0
hydrogen storage compressor,,,,0.0,,4.0,,,0.0,,,,,,,,,,,,0.05,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,110255.70000000001,15.0,,,,,,,,,,,,,0.0,,,,633.4793338001498,0.0
hydrogen storage tank type 1,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,16974.0,20.0,,,,6.0,,,,,,,,,0.0,,,,74.47637616965564,0.0
hydrogen storage tank type 1 including compressor,,,,0.0,,1.9048,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,28078.0,30.0,,,,,,,,,,,,,0.0,,,,107.30270395887594,0.0
hydrogen storage underground,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1604.5,100.0,,,,,,,,,,,,,0.0,,,,4.3129430555576365,0.0
industrial heat pump high temperature,,,,0.0,,0.0857,,,3.9503,,,,,,,,,,,,,,0.07,,,,3.2,,,,,,,,,0.0,,,,,,1063554.2,20.0,,,,,,,,,,,,,0.0,,,,3885.6121096848974,3.9503
industrial heat pump medium temperature,,,,0.0,,0.1029,,,3.9503,,,,,,,,,,,,,,0.07,,,,2.85,,,,,,,,,0.0,,,,,,886295.2000000001,20.0,,,,,,,,,,,,,0.0,,,,3243.857333298781,3.9503
iron ore DRI-ready,,,,0.0,,0.0,,,0.0,,,,,,,,,,,97.73,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,0.0,,,,0.0,0.0
iron-air battery,,,,0.0,,1.1808,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,14018.5,17.5,,,,,,,,,,,,,0.0,,,,60.58700874641675,0.0
iron-air battery charge,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.74,,,,,,,,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,0.0,,,,0.0,0.0
iron-air battery discharge,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.63,,,,,,,,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,0.0,,,,0.0,0.0
lignite,,,,0.4069,,1.31,,,4.1005,,,,,,,,,,,,,,0.07,,,,0.33,,,,,,,,,7.9423,,,,,,4812024.4,40.0,,,,,,,,,,,,,0.0,,,,16262.374152655397,28.168075757575757
methanation,,,,0.0,,3.0,,,0.0,,,,,,,0.198,,,,,,,0.07,,,,0.8,,,,,,,,,0.0,,,,,1.282,654772.7,20.0,,,,,,,,,,,,,0.0,,,,3124.074755883162,0.0
methane storage tank incl. compressor,,,,0.0,,1.9,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,11312.1952,30.0,,,,,,,,,,,,,0.0,,,,43.20978548211281,0.0
methanol,,,,0.2482,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,0.0,,,,0.0,0.0
methanol-to-kerosene,,,,0.0,,4.5,,,1.6974,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,0.0279,251466.9202,30.0,,,1.0764,,,,,,,,,,0.0,,,,1211.3193576412884,1.6974
methanol-to-olefins/aromatics,,,,0.0,,3.0,,,40.0741,,,,,,,,0.6107,,,,,,0.07,,,,1.0,,,,,,,1.3889,,0.0,,,,,,3510490.5712,30.0,,,18.03,,,,,,,,,,0.0,,,,14890.34349479847,40.0741
methanolisation,,,,0.0,,3.0,,,0.0,,,,,0.9,,0.248,,,,,,,0.07,,,,1.0,,,,,,,0.271,,0.0,,,,0.1,1.138,1091796.1,30.0,,,,,,,,,,,,,0.0,,,,4631.039060083302,0.0
micro CHP,,,,0.0,,6.4286,,,0.0,,,,,,,,,,,,,,0.07,,,,0.351,,,,0.609,,,,,0.0,,,,,,7698963.7,20.0,,,,,,,,,,,,,0.0,,,,46858.317943924645,0.0
natural gas direct iron reduction furnace,,,,0.0,,11.3,,,0.0,,,,,,,,,,,,,,0.07,,,20.0,1.0,,,,,,,,,0.0,2.78,,,,,5378698.8822,40.0,,,,,,,,1.59,,,,,0.0,,,,38787.46200394579,0.0
nuclear,,,,0.0,,1.27,,,4.459,,,,,,,,,,,,,,0.07,,,,0.326,,,,,,,,,7.4536,,,,,,10805703.799999999,40.0,,,,,,,,,,,,,0.0,,,,36352.39904958406,27.322803680981593
offwind,,,,0.0,,2.1655,,,0.0267,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1916091.3,30.0,,,,,,,,,,,,,0.0,,,,7514.1208020383965,0.015
offwind-ac-connection-submarine,,,,0.0,,2.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,3750.0,40.0,,,,,,,,,,,,,0.0,,,,14.384876139354908,0.0
offwind-ac-connection-underground,,,,0.0,,2.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,3750.0,40.0,,,,,,,,,,,,,0.0,,,,14.384876139354908,0.0
offwind-ac-station,,,,0.0,,1.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,710000.0,40.0,,,,,,,,,,,,,0.0,,,,2451.2077819279084,0.0
offwind-dc-connection-submarine,,,,0.0,,2.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,2680.0,40.0,,,,,,,,,,,,,0.0,,,,10.280391480925642,0.0
offwind-dc-connection-underground,,,,0.0,,2.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,3400.0,40.0,,,,,,,,,,,,,0.0,,,,13.042287699681784,0.0
offwind-dc-station,,,,0.0,,1.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,900000.0,40.0,,,,,,,,,,,,,0.0,,,,3107.164793993123,0.0
offwind-float,,,,0.0,,1.39,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1986588.7,20.0,,,,,,,,,,,,,0.0,,,,8251.695989043483,0.0
offwind-float-connection-submarine,,,,0.0,,2.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,2680.0,40.0,,,,,,,,,,,,,0.0,,,,10.280391480925642,0.0
offwind-float-connection-underground,,,,0.0,,2.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,3400.0,40.0,,,,,,,,,,,,,0.0,,,,13.042287699681784,0.0
offwind-float-station,,,,0.0,,1.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,900000.0,40.0,,,,,,,,,,,,,0.0,,,,3107.164793993123,0.0
oil,,,,0.2571,,2.4095,,,8.0148,,,,,,,,,,,,,,0.07,,,,0.35,,,,,,,,,40.8634,,,,,,448829.8,25.0,,,,,,,,,,,,,0.0,,,,1892.0662969388236,124.76737142857142
onwind,,,,0.0,,1.1775,,,1.623,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1286466.9,30.0,,,,,,,,,,,,,0.0,,,,4557.475173600648,0.015
organic rankine cycle,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.12,,0.0,,,,,,1730092.4,30.0,,,,,,,,,,,,,0.0,,,,6674.884415371766,0.0
ror,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.9,,,,,,,,,0.0,,,,,,4332791.9,80.0,,,,,,,,,,,,,0.0,,,,15009.147316706933,0.0
seawater RO desalination,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.003,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,0.0,,,,0.0,0.0
seawater desalination,,,,0.0,,4.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,3.0348,,0.0,,,,,,28086.1167,30.0,,,,,,,,,,,,,0.0,,,,129.90480334314802,0.0
shipping fuel methanol,,,,0.2482,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,90.5281,,,,,,0.0,25.0,,,,,,,,,,,,,0.0,,,,0.0,90.5281
solar,,,,0.0,,2.0676,,,0.0134,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,513894.6,40.0,,,,,,,,,,,,,0.0,,,,1415.2461566516495,0.01
solar-rooftop,,,,0.0,,1.6059,,,0.0,,,,,,,,,,,,,,0.04,,,,1.0,,,,,,,,,0.0,,,,,,659922.0,40.0,,,,,,,,,,,,,0.0,,,,1685.3410774775862,0.0
solar-rooftop commercial,,,,0.0,,1.812,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,520413.1,40.0,,,,,,,,,,,,,0.0,,,,1858.9554357853278,0.0
solar-rooftop residential,,,,0.0,,1.3998,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,799430.8999999999,40.0,,,,,,,,,,,,,0.0,,,,2729.235068236093,0.0
solar-utility,,,,0.0,,2.5292,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,367867.1,40.0,,,,,,,,,,,,,0.0,,,,1415.2461566516495,0.0
solar-hsat,,,,0.0,,2.5531,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,443226.5,40.0,,,,,,,,,,,,,0.0,,,,1709.2294632178066,0.0
solid biomass,,,,0.3667,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,17.3312,,,,,,0.0,25.0,,,,,,,,,,,,,0.0,,,,0.0,17.3312
solid biomass boiler steam,,,,0.0,,6.2831,,,3.606,,,,,,,,,,,,,,0.07,,,,0.9,,,,,,,,,0.0,,,,,,679109.2999999999,25.0,,,,,,,,,,,,,0.0,,,,3871.818394381639,3.606
solid biomass boiler steam CC,,,,0.0,,6.2831,,,3.606,,,,,,,,,,,,,,0.07,,,,0.9,,,,,,,,,0.0,,,,,,679109.2999999999,25.0,,,,,,,,,,,,,0.0,,,,3871.818394381639,3.606
solid biomass to hydrogen,,,,0.0,,4.25,,,0.0,,,,,0.9,,,,,,,,,0.07,,,,0.56,,,,,,,,,0.0,,,,,,3342847.3,25.0,,,,,,,,,,,,,0.0,,,,16451.820615720215,0.0
steel carbon capture retrofit,,,,0.0,,5.0,,,0.0,,,,,,0.9,,,,,,,,0.07,,,,1.0,,,,,,,0.16,,0.0,0.76,,,,,4477916.402,20.0,,,,,,,,,,,,,0.0,,,,24800.307691120266,0.0
uranium,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,7.4536,,,,,,0.0,25.0,,,,,,,,,,,,,0.0,,,,0.0,7.4536
waste CHP,,,,0.0,,2.2917,,,34.1135,,0.3034,1.0,,,,,,,,,,,0.07,,,,0.2165,,,,0.7625,,,,,0.0,,,,,,9442640.799999999,25.0,,,,,,,,,,,,,0.0,,,,39379.3108566242,34.1135
waste CHP CC,,,,0.0,,2.2917,,,34.1135,,0.3034,1.0,,,,,,,,,,,0.07,,,,0.2165,,,,0.7625,,,,,0.0,,,,,,9442640.799999999,25.0,,,,,,,,,,,,,0.0,,,,39379.3108566242,34.1135
water tank charger,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.9,,,,,,,,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,0.0,,,,0.0,0.03
water tank discharger,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.9,,,,,,,,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,0.0,,,,0.0,0.0
nuclear-lfr,,,,0.0,,0.778,,,3.2,,,,,,,,,,,,,,0.07,,,,0.34,,,,,,,,,2.8,,,,,,6210000.0,55.0,,,,,,,,,,,,,0.0,,,,18940.13538140968,11.435294117647057
nuclear-msr,,,,0.0,,0.776,,,3.5,,,,,,,,,,,,,,0.07,,,,0.35,,,,,,,,,2.5,,,,,,6670000.0,50.0,,,,,,,,,,,,,0.0,,,,20523.09465755771,10.642857142857142
nuclear-smr,,,,0.0,,0.8,,,3.0,,,,,,,,,,,,,,0.07,,,,0.33,,,,,,,,,3.0,,,,,,6612500.0,60.0,,,,,,,,,,,,,0.0,,,,20094.9193168885,12.09090909090909
waste,,,,0.2571,,2.2917,,,34.1135,,0.3034,1.0,,,,,,,,,,,0.07,,,,0.2165,,,,0.7625,,,,,0.0,,,,,,9442640.799999999,25.0,,,,,,,,,,,,,0.0,,,,39379.3108566242,34.1135
battery,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2325.5555761282603,0.0
li-ion,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2325.5555761282603,0.0
lfp,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,7773.9802074544,0.0
vanadium,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,16896.765936272546,0.0
lair,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,10586.167274656358,0.0
pair,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,4149.368934722903,0.0
iron-air,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,6058.700874641675,0.0
H2,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,14677.346173752125,0.0
